year,region,mortar_type,property,value,unit
2006,World,rendering,def,17.125,mm
2006,World,rendering,min,8.75,mm
2006,World,rendering,max,27.125,mm
2006,World,rendering,abs_min,0,mm
2006,World,rendering,abs_max,inf,mm
2006,World,masonry,def,10,mm
2006,World,masonry,min,5,mm
2006,World,masonry,max,15,mm
2006,World,masonry,abs_min,0,mm
2006,World,masonry,abs_max,inf,mm
2006,World,maintenance and repairing,def,25,mm
2006,World,maintenance and repairing,min,10,mm
2006,World,maintenance and repairing,max,30,mm
2006,World,maintenance and repairing,abs_min,0,mm
2006,World,maintenance and repairing,abs_max,inf,mm
