year,region,wwaterdischarge_type,property,value,unit
2006,World,freshwater_aquatic_tier1,def,0.11,kg/kg
2006,World,freshwater_aquatic_other_tier2,def,0.035,kg/kg
2006,World,freshwater_aquatic_lakes_tier2,def,0.19,kg/kg
2006,World,freshwater_aquatic_tier1,min,0.004,kg/kg
2006,World,freshwater_aquatic_other_tier2,min,0.004,kg/kg
2006,World,freshwater_aquatic_lakes_tier2,min,0.08,kg/kg
2006,World,freshwater_aquatic_tier1,max,0.27,kg/kg
2006,World,freshwater_aquatic_other_tier2,max,0.06,kg/kg
2006,World,freshwater_aquatic_lakes_tier2,max,0.27,kg/kg
2006,World,freshwater_aquatic_tier1,abs_min,0.0,kg/kg
2006,World,freshwater_aquatic_other_tier2,abs_min,0.0,kg/kg
2006,World,freshwater_aquatic_lakes_tier2,abs_min,0.0,kg/kg
2006,World,freshwater_aquatic_tier1,abs_max,1.0,kg/kg
2006,World,freshwater_aquatic_other_tier2,abs_max,1.0,kg/kg
2006,World,freshwater_aquatic_lakes_tier2,abs_max,1.0,kg/kg
