year,region,biotreat_type,waste_moisture,property,value,unit
2006,World,compost,dry,def,10.0,g/kg
2006,World,anaer_digest,dry,def,2.0,g/kg
2006,World,compost,wet,def,4.0,g/kg
2006,World,anaer_digest,wet,def,0.8,g/kg
2006,World,compost,dry,min,0.08,g/kg
2006,World,anaer_digest,dry,min,0.0,g/kg
2006,World,compost,wet,min,0.03,g/kg
2006,World,anaer_digest,wet,min,0.0,g/kg
2006,World,compost,dry,max,20.0,g/kg
2006,World,anaer_digest,dry,max,20.0,g/kg
2006,World,compost,wet,max,8.0,g/kg
2006,World,anaer_digest,wet,max,8.0,g/kg
2006,World,compost,dry,abs_min,0.0,g/kg
2006,World,anaer_digest,dry,abs_min,0.0,g/kg
2006,World,compost,wet,abs_min,0.0,g/kg
2006,World,anaer_digest,wet,abs_min,0.0,g/kg
2006,World,compost,dry,abs_max,inf,g/kg
2006,World,anaer_digest,dry,abs_max,inf,g/kg
2006,World,compost,wet,abs_max,inf,g/kg
2006,World,anaer_digest,wet,abs_max,inf,g/kg
